transaction_id,customer_id,product,category,price,discount,total_price,payment_method,transaction_date
1b131422-7c9f-438e-849c-1766a8a44387,4664,Product_200,Electronics,124.21,36.99,87.22,PayPal,2025-01-19
ed4dec6a-ca38-4f8a-b13c-0570e85b1abc,3337,Product_38,Beauty,193.18,38.85,154.33,Bank Transfer,2025-02-20
d71e4f4b-c7cc-4246-82b6-dacf36d1c0ee,4552,Product_28,Electronics,341.28,51.89,289.39,Bank Transfer,2024-05-20
ae5a19b6-ee54-4cea-a591-0f24a95f261f,2338,Product_161,Electronics,392.3,62.06,330.24,Bank Transfer,2024-10-12
5476eff9-b10d-45cd-976a-c56ab3e951b9,4190,Product_81,Fashion,355.9,7.95,347.95,PayPal,2024-04-17
53167858-072b-4497-b0ac-9e6ccc92c19e,3039,Product_57,Beauty,355.55,31.06,324.49,PayPal,2024-05-14
bbac7285-a03e-43d5-a0ea-eba79c8ee265,230,Product_154,Fashion,490.5,101.66,388.84000000000003,Credit Card,2024-10-02
99ba6908-fd9c-4caa-85f5-991670d7722a,522,Product_183,Sports,139.57,21.09,118.47999999999999,PayPal,2025-02-19
e3945cb7-7201-49af-bb17-05a445ce9429,2700,Product_101,Books,415.87,38.99,376.88,Bank Transfer,2025-02-06
9068c939-71e6-4c96-9afa-6afdb5d3a815,1696,Product_81,Fashion,20.5,2.36,18.14,Bank Transfer,2024-07-23
f5dcb9fa-c17f-4bd8-8fbd-ad235bd6dd2e,2620,Product_63,Beauty,381.86,63.9,317.96000000000004,Bank Transfer,2024-08-14
77fc61fd-a610-4e86-bf98-8f62a5e8be78,534,Product_107,Home & Kitchen,446.45,117.89,328.56,PayPal,2024-08-30
ad6a451c-9f22-4a78-a9c0-8a09d47678cb,665,Product_174,Beauty,425.65,60.54,365.10999999999996,Bank Transfer,2025-01-24
7eccdc4a-30c0-4f40-ad77-02634cdf254e,1028,Product_188,Electronics,225.39,0.77,224.61999999999998,Credit Card,2024-07-25
03b70c3c-57b1-47a6-bf7d-29bcf9d9b210,2194,Product_55,Books,159.55,47.85,111.70000000000002,PayPal,2024-09-02
ea3e95f6-bbd7-4fcc-8768-154247245496,1553,Product_120,Beauty,429.71,60.79,368.91999999999996,PayPal,2024-10-12
6e4c4134-3901-4f5a-9fcc-7c70903ccf20,4856,Product_99,Beauty,215.14,35.72,179.42,Credit Card,2024-05-27
60a19186-ba27-43e0-bd9e-46848827312f,1871,Product_137,Electronics,354.31,11.96,342.35,Bank Transfer,2024-07-07
ab35cec7-2010-4f51-9eee-549dcbfc4efb,4979,Product_185,Electronics,142.08,9.37,132.71,Bank Transfer,2024-12-04
edf5af5f-dc95-467e-826e-397042ff22df,2761,Product_84,Fashion,131.9,23.14,108.76,PayPal,2024-09-29
b4f10574-0f4a-41ee-a0c7-31cdff9f5af0,1177,Product_28,Electronics,237.3,61.26,176.04000000000002,Bank Transfer,2024-08-25
4e0d06fd-f9e3-4eae-9307-8b41f07f3634,2293,Product_78,Sports,364.31,39.43,324.88,Credit Card,2024-08-15
1e0dbf08-2298-425f-ad08-e73921e76e76,2154,Product_123,Books,453.22,57.72,395.5,Debit Card,2024-06-11
ffb842af-b865-4c84-94dc-f97f4fd64e50,2437,Product_38,Beauty,74.74,4.08,70.66,Credit Card,2024-07-09
f91dc97b-7b7c-4d81-861b-2b56b8fb0fd4,3267,Product_165,Sports,48.4,9.4,39.0,Credit Card,2024-11-06
c8b60405-d6ae-4682-af1d-9ee33ca087e0,331,Product_80,Sports,35.58,9.96,25.619999999999997,PayPal,2024-06-12
a8d9b6f3-7d5f-499b-85f3-a4731490f559,1694,Product_52,Fashion,206.02,7.09,198.93,Bank Transfer,2024-10-28
07de00ae-57a4-4d2a-802a-195031363da9,3963,Product_185,Electronics,473.18,106.09,367.09000000000003,Debit Card,2024-04-28
671c0fa4-45cf-4967-ae37-84b7209a366d,2889,Product_180,Sports,141.41,15.17,126.24,Credit Card,2024-06-10
87e8596a-2139-490a-87c0-61c4ca005bf0,1595,Product_138,Fashion,485.55,132.19,353.36,Credit Card,2025-02-15
c92d1884-92a6-48bd-a49d-42810c92e8fc,4086,Product_174,Beauty,457.47,85.63,371.84000000000003,Bank Transfer,2024-05-10
f14ec6ac-ef01-453f-b43a-20f4192c2298,8,Product_44,Electronics,252.66,4.06,248.6,Credit Card,2024-08-25
ed327a77-a476-4264-857d-7a6a2e1bc63e,4590,Product_120,Beauty,219.43,20.58,198.85000000000002,PayPal,2024-05-12
45612faa-eb43-4142-b0ce-b12a377d0da4,2649,Product_12,Beauty,21.46,3.68,17.78,Debit Card,2024-12-08
4fcae528-9e6a-49ec-9d6c-444267f0bebd,4059,Product_42,Books,479.25,66.16,413.09000000000003,Bank Transfer,2025-01-21
19d96cea-f261-40e9-b1ea-11320c552a63,1877,Product_119,Electronics,227.83,15.44,212.39000000000001,Credit Card,2024-03-10
c4effa14-865a-4311-9504-da18e2b58ea8,885,Product_66,Home & Kitchen,91.92,18.55,73.37,Debit Card,2025-01-26
885309b0-33be-4268-8087-0de658f50166,2890,Product_50,Books,44.76,10.09,34.67,Debit Card,2024-04-04
17da2789-7c27-4f42-9c63-2a9e9661406a,4075,Product_103,Fashion,20.76,1.47,19.290000000000003,Credit Card,2024-10-19
34d14757-67da-43f2-8849-03b54aafe76f,4939,Product_40,Fashion,204.59,11.48,193.11,Credit Card,2024-07-31
c001789d-f3e6-4d8d-bf59-cf18f7efdf5c,4186,Product_198,Sports,228.12,44.46,183.66,Debit Card,2025-02-22
fbab5d9c-d1e6-410f-88b0-1fba03c5e0f1,2300,Product_188,Electronics,227.85,22.68,205.17,PayPal,2025-01-04
bdd56e95-eee5-4d5f-8e7a-07dcea86fc52,2051,Product_106,Beauty,152.94,43.18,109.75999999999999,Bank Transfer,2024-06-08
a0bf4b59-3ed3-44ef-8597-7e64e745c019,1555,Product_77,Books,158.34,37.05,121.29,Bank Transfer,2024-06-15
bd9344d6-b58d-4875-b0b4-c9a2e4972070,3335,Product_51,Home & Kitchen,345.14,12.28,332.86,Bank Transfer,2024-09-24
a1e360a0-686b-495c-b2c5-a7b3c72065d3,3408,Product_174,Beauty,169.52,47.88,121.64000000000001,Credit Card,2024-08-15
55f0302f-d4eb-402a-9180-23f83938a0bb,1077,Product_86,Fashion,247.12,25.2,221.92000000000002,PayPal,2024-04-26
db1506ee-2d7c-484b-b062-776e8afc6ef3,1282,Product_29,Electronics,143.47,6.3,137.17,Credit Card,2024-03-05
931ea670-2b05-4631-be07-c4a109de0c02,3596,Product_44,Electronics,108.24,1.13,107.11,Debit Card,2024-07-30
87de451a-f5ad-4469-95bc-62cc525d14db,3133,Product_141,Beauty,210.73,14.81,195.92,Bank Transfer,2024-07-28
b0fb8061-11ab-4d6f-969e-9959bb7c56a1,3600,Product_129,Home & Kitchen,317.24,67.47,249.77,Debit Card,2024-07-18
47c6db81-67f8-4d3d-8ed7-a72f2892ff86,1161,Product_90,Electronics,104.12,17.35,86.77000000000001,Credit Card,2024-05-10
2f0b2b89-5e3c-4842-aa7a-f170a43dea1e,2351,Product_101,Books,335.46,68.97,266.49,Credit Card,2024-09-18
99f8d2a7-4efb-4c59-9b3c-c36b0fba7322,2795,Product_165,Sports,369.73,55.53,314.20000000000005,Credit Card,2024-05-29
df02db6a-a3b2-487f-a110-ff8e36f5a088,1344,Product_79,Toys,179.28,42.1,137.18,PayPal,2025-01-04
